#SRCNAME|DSTNAME|METRIC=VALUE,METRIC=VALUE,...
aws.us-west-1|gcp.europe-north1|cost=90.00,delay=170.05
aws.us-west-1|gcp.europe-southwest1|cost=90.00,delay=144.68
aws.us-west-1|gcp.europe-west1|cost=90.00,delay=147.91
aws.us-west-1|gcp.europe-west12|cost=90.00,delay=162.40
aws.us-west-1|gcp.europe-west2|cost=90.00,delay=141.04
aws.us-west-1|gcp.europe-west3|cost=90.00,delay=155.27
aws.us-west-1|gcp.europe-west4|cost=90.00,delay=47.71
aws.us-west-1|gcp.europe-west6|cost=90.00,delay=159.62
aws.us-west-1|gcp.europe-west8|cost=90.00,delay=163.02
aws.us-west-1|gcp.europe-west9|cost=90.00,delay=146.91
aws.us-west-1|gcp.me-central1|cost=90.00,delay=259.33
aws.us-west-1|gcp.me-west1|cost=90.00,delay=194.51
aws.us-west-1|gcp.asia-east1|cost=90.00,delay=141.91
aws.us-west-1|gcp.asia-east2|cost=90.00,delay=152.74
aws.us-west-1|gcp.asia-northeast1|cost=90.00,delay=112.00
aws.us-west-1|gcp.asia-northeast2|cost=90.00,delay=119.79
aws.us-west-1|gcp.asia-northeast3|cost=90.00,delay=137.89
aws.us-west-1|gcp.asia-south1|cost=90.00,delay=237.67
aws.us-west-1|gcp.asia-south2|cost=90.00,delay=248.40
aws.us-west-1|gcp.asia-southeast1|cost=90.00,delay=178.17
aws.us-west-1|gcp.asia-southeast2|cost=90.00,delay=191.07
aws.us-west-1|gcp.australia-southeast1|cost=90.00,delay=146.15
aws.us-west-1|gcp.australia-southeast2|cost=90.00,delay=157.72
aws.us-west-1|azure.eastus|cost=90.00,delay=65.33
aws.us-west-1|azure.eastus2|cost=90.00,delay=64.26
aws.us-west-1|azure.southcentralus|cost=90.00,delay=34.51
aws.us-west-1|azure.westus2|cost=90.00,delay=23.63
aws.us-west-1|azure.westus3|cost=90.00,delay=16.93
aws.us-west-1|azure.australiaeast|cost=90.00,delay=139.13
aws.us-west-1|azure.southeastasia|cost=90.00,delay=169.73
aws.us-west-1|azure.northeurope|cost=90.00,delay=133.40
aws.us-west-1|azure.swedencentral|cost=90.00,delay=171.58
aws.us-west-1|azure.uksouth|cost=90.00,delay=141.27
aws.us-west-1|azure.westeurope|cost=90.00,delay=148.38
aws.us-west-1|azure.centralus|cost=90.00,delay=43.42
aws.us-west-1|azure.southafricanorth|cost=90.00,delay=309.50
aws.us-west-1|azure.centralindia|cost=90.00,delay=220.86
aws.us-west-1|azure.eastasia|cost=90.00,delay=158.05
aws.us-west-1|azure.japaneast|cost=90.00,delay=106.54
aws.us-west-1|azure.koreacentral|cost=90.00,delay=129.66
aws.us-west-1|azure.canadacentral|cost=90.00,delay=72.62
aws.us-west-1|azure.francecentral|cost=90.00,delay=146.51
aws.us-west-1|azure.germanywestcentral|cost=90.00,delay=154.82
aws.us-west-1|azure.norwayeast|cost=90.00,delay=168.87
aws.us-west-1|azure.polandcentral|cost=90.00,delay=171.53
aws.us-west-1|azure.switzerlandnorth|cost=90.00,delay=159.66
aws.us-west-1|azure.uaenorth|cost=90.00,delay=252.29
aws.us-west-1|azure.brazilsouth|cost=90.00,delay=172.67
aws.us-west-1|azure.qatarcentral|cost=90.00,delay=260.61
aws.us-west-1|azure.northcentralus|cost=90.00,delay=56.21
aws.us-west-1|azure.westus|cost=90.00,delay=2.48
aws.us-west-1|azure.westcentralus|cost=90.00,delay=29.55
aws.us-west-1|azure.australiacentral|cost=90.00,delay=144.08
aws.us-west-1|azure.australiasoutheast|cost=90.00,delay=150.89
aws.us-west-1|azure.japanwest|cost=90.00,delay=113.41
aws.us-west-1|azure.koreasouth|cost=90.00,delay=123.27
aws.us-west-1|azure.southindia|cost=90.00,delay=201.89
aws.us-west-1|azure.canadaeast|cost=90.00,delay=81.25
aws.us-west-1|azure.ukwest|cost=90.00,delay=143.94
aws.us-west-2|aws.us-east-1|cost=20.00,delay=62.44
aws.us-west-2|aws.us-east-2|cost=20.00,delay=49.21
aws.us-west-2|aws.us-west-1|cost=20.00,delay=20.97
aws.us-west-2|aws.ap-south-1|cost=20.00,delay=216.82
aws.us-west-2|aws.ap-northeast-3|cost=20.00,delay=98.11
aws.us-west-2|aws.ap-northeast-2|cost=20.00,delay=119.43
aws.us-west-2|aws.ap-southeast-1|cost=20.00,delay=162.09
aws.us-west-2|aws.ap-southeast-2|cost=20.00,delay=139.60
aws.us-west-2|aws.ap-northeast-1|cost=20.00,delay=96.32
aws.us-west-2|aws.ca-central-1|cost=20.00,delay=65.30
aws.us-west-2|aws.eu-central-1|cost=20.00,delay=140.30
aws.us-west-2|aws.eu-west-1|cost=20.00,delay=117.91
aws.us-west-2|aws.eu-west-2|cost=20.00,delay=127.56
aws.us-west-2|aws.eu-west-3|cost=20.00,delay=133.00
aws.us-west-2|aws.eu-north-1|cost=20.00,delay=156.28
aws.us-west-2|aws.sa-east-1|cost=20.00,delay=173.41
aws.us-west-2|gcp.northamerica-northeast1|cost=90.00,delay=87.25
aws.us-west-2|gcp.northamerica-northeast2|cost=90.00,delay=81.06
aws.us-west-2|gcp.southamerica-east1|cost=90.00,delay=183.21
aws.us-west-2|gcp.southamerica-west1|cost=90.00,delay=137.79
aws.us-west-2|gcp.us-central1|cost=90.00,delay=62.54
aws.us-west-2|gcp.us-east1|cost=90.00,delay=83.32
aws.us-west-2|gcp.us-east4|cost=90.00,delay=81.08
aws.us-west-2|gcp.us-east5|cost=90.00,delay=77.16
aws.us-west-2|gcp.us-south1|cost=90.00,delay=56.28
aws.us-west-2|gcp.us-west1|cost=90.00,delay=14.32
aws.us-west-2|gcp.us-west2|cost=90.00,delay=32.80
aws.us-west-2|gcp.us-west3|cost=90.00,delay=42.01
aws.us-west-2|gcp.us-west4|cost=90.00,delay=39.05
aws.us-west-2|gcp.europe-central2|cost=90.00,delay=181.21
aws.us-west-2|gcp.europe-north1|cost=90.00,delay=181.64
aws.us-west-2|gcp.europe-southwest1|cost=90.00,delay=156.45
aws.us-west-2|gcp.europe-west1|cost=90.00,delay=159.99
aws.us-west-2|gcp.europe-west12|cost=90.00,delay=174.25
aws.us-west-2|gcp.europe-west2|cost=90.00,delay=152.82
aws.us-west-2|gcp.europe-west3|cost=90.00,delay=167.51
aws.us-west-2|gcp.europe-west4|cost=90.00,delay=62.32
aws.us-west-2|gcp.europe-west6|cost=90.00,delay=171.65
aws.us-west-2|gcp.europe-west8|cost=90.00,delay=175.22
aws.us-west-2|gcp.europe-west9|cost=90.00,delay=158.61
aws.us-west-2|gcp.me-central1|cost=90.00,delay=271.47
aws.us-west-2|gcp.me-west1|cost=90.00,delay=206.31
aws.us-west-2|gcp.asia-east1|cost=90.00,delay=134.70
aws.us-west-2|gcp.asia-east2|cost=90.00,delay=145.70
aws.us-west-2|gcp.asia-northeast1|cost=90.00,delay=102.72
aws.us-west-2|gcp.asia-northeast2|cost=90.00,delay=111.99
aws.us-west-2|gcp.asia-northeast3|cost=90.00,delay=128.48
aws.us-west-2|gcp.asia-south1|cost=90.00,delay=228.71
aws.us-west-2|gcp.asia-south2|cost=90.00,delay=238.03
aws.us-west-2|gcp.asia-southeast1|cost=90.00,delay=168.76
aws.us-west-2|gcp.asia-southeast2|cost=90.00,delay=181.89
aws.us-west-2|gcp.australia-southeast1|cost=90.00,delay=157.70
aws.us-west-2|gcp.australia-southeast2|cost=90.00,delay=169.21
aws.us-west-2|azure.eastus|cost=90.00,delay=83.31
aws.us-west-2|azure.eastus2|cost=90.00,delay=79.19
aws.us-west-2|azure.southcentralus|cost=90.00,delay=53.33
aws.us-west-2|azure.westus2|cost=90.00,delay=11.86
aws.us-west-2|azure.westus3|cost=90.00,delay=35.62
aws.us-west-2|azure.australiaeast|cost=90.00,delay=157.62
aws.us-west-2|azure.southeastasia|cost=90.00,delay=159.43
aws.us-west-2|azure.northeurope|cost=90.00,delay=147.03
aws.us-west-2|azure.swedencentral|cost=90.00,delay=184.90
aws.us-west-2|azure.uksouth|cost=90.00,delay=155.18
aws.us-west-2|azure.westeurope|cost=90.00,delay=162.32
aws.us-west-2|azure.centralus|cost=90.00,delay=54.43
aws.us-west-2|azure.southafricanorth|cost=90.00,delay=321.97
aws.us-west-2|azure.centralindia|cost=90.00,delay=210.50
aws.us-west-2|azure.eastasia|cost=90.00,delay=147.73
aws.us-west-2|azure.japaneast|cost=90.00,delay=96.05
aws.us-west-2|azure.koreacentral|cost=90.00,delay=119.45
aws.us-west-2|azure.canadacentral|cost=90.00,delay=75.58
aws.us-west-2|azure.francecentral|cost=90.00,delay=160.74
aws.us-west-2|azure.germanywestcentral|cost=90.00,delay=168.16
aws.us-west-2|azure.norwayeast|cost=90.00,delay=182.65
aws.us-west-2|azure.polandcentral|cost=90.00,delay=185.09
aws.us-west-2|azure.switzerlandnorth|cost=90.00,delay=173.22
aws.us-west-2|azure.uaenorth|cost=90.00,delay=248.80
aws.us-west-2|azure.brazilsouth|cost=90.00,delay=192.51
aws.us-west-2|azure.qatarcentral|cost=90.00,delay=274.23
aws.us-west-2|azure.northcentralus|cost=90.00,delay=64.55
aws.us-west-2|azure.westus|cost=90.00,delay=21.06
aws.us-west-2|azure.westcentralus|cost=90.00,delay=40.35
aws.us-west-2|azure.australiacentral|cost=90.00,delay=162.51
aws.us-west-2|azure.australiasoutheast|cost=90.00,delay=169.26
aws.us-west-2|azure.japanwest|cost=90.00,delay=103.13
aws.us-west-2|azure.koreasouth|cost=90.00,delay=116.30
aws.us-west-2|azure.southindia|cost=90.00,delay=191.58
aws.us-west-2|azure.canadaeast|cost=90.00,delay=87.80
aws.us-west-2|azure.ukwest|cost=90.00,delay=157.52
aws.ap-south-1|aws.us-east-1|cost=86.00,delay=188.68
aws.ap-south-1|aws.us-east-2|cost=86.00,delay=198.23
aws.ap-south-1|aws.us-west-1|cost=86.00,delay=226.52
aws.ap-south-1|aws.us-west-2|cost=86.00,delay=216.62
aws.ap-south-1|aws.ap-northeast-3|cost=86.00,delay=127.45
aws.ap-south-1|aws.ap-northeast-2|cost=86.00,delay=129.18
aws.ap-south-1|aws.ap-southeast-1|cost=86.00,delay=52.71
aws.ap-south-1|aws.ap-southeast-2|cost=86.00,delay=145.53
aws.ap-south-1|aws.ap-northeast-1|cost=86.00,delay=124.97
aws.ap-south-1|aws.ca-central-1|cost=86.00,delay=189.34
aws.ap-south-1|aws.eu-central-1|cost=86.00,delay=129.44
aws.ap-south-1|aws.eu-west-1|cost=86.00,delay=124.58
aws.ap-south-1|aws.eu-west-2|cost=86.00,delay=115.64
aws.ap-south-1|aws.eu-west-3|cost=86.00,delay=107.49
aws.ap-south-1|aws.eu-north-1|cost=86.00,delay=148.94
aws.ap-south-1|aws.sa-east-1|cost=86.00,delay=301.55
aws.ap-south-1|gcp.northamerica-northeast1|cost=109.30,delay=220.28
aws.ap-south-1|gcp.northamerica-northeast2|cost=109.30,delay=227.44
aws.ap-south-1|gcp.southamerica-east1|cost=109.30,delay=330.46
aws.ap-south-1|gcp.southamerica-west1|cost=109.30,delay=331.62
aws.ap-south-1|gcp.us-central1|cost=109.30,delay=240.00
aws.ap-south-1|gcp.us-east1|cost=109.30,delay=228.16
aws.ap-south-1|gcp.us-east4|cost=109.30,delay=217.69
aws.ap-south-1|gcp.us-east5|cost=109.30,delay=224.05
aws.ap-south-1|gcp.us-south1|cost=109.30,delay=248.38
aws.ap-south-1|gcp.us-west1|cost=109.30,delay=212.34
aws.ap-south-1|gcp.us-west2|cost=109.30,delay=223.78
aws.ap-south-1|gcp.us-west3|cost=109.30,delay=236.50
aws.ap-south-1|gcp.us-west4|cost=109.30,delay=230.21
aws.ap-south-1|gcp.europe-central2|cost=109.30,delay=151.60
aws.ap-south-1|gcp.europe-north1|cost=109.30,delay=169.19
aws.ap-south-1|gcp.europe-southwest1|cost=109.30,delay=135.52
aws.ap-south-1|gcp.europe-west1|cost=109.30,delay=140.81
aws.ap-south-1|gcp.europe-west12|cost=109.30,delay=122.34
aws.ap-south-1|gcp.europe-west2|cost=109.30,delay=145.68
aws.ap-south-1|gcp.europe-west3|cost=109.30,delay=137.54
aws.ap-south-1|gcp.europe-west4|cost=109.30,delay=240.25
aws.ap-south-1|gcp.europe-west6|cost=109.30,delay=124.66
aws.ap-south-1|gcp.europe-west8|cost=109.30,delay=120.84
aws.ap-south-1|gcp.europe-west9|cost=109.30,delay=140.09
aws.ap-south-1|gcp.me-central1|cost=109.30,delay=42.47
aws.ap-south-1|gcp.me-west1|cost=109.30,delay=100.98
aws.ap-south-1|gcp.asia-east1|cost=109.30,delay=131.42
aws.ap-south-1|gcp.asia-east2|cost=109.30,delay=92.54
aws.ap-south-1|gcp.asia-northeast1|cost=109.30,delay=128.22
aws.ap-south-1|gcp.asia-northeast2|cost=109.30,delay=132.95
aws.ap-south-1|gcp.asia-northeast3|cost=109.30,delay=130.46
aws.ap-south-1|gcp.asia-south1|cost=109.30,delay=2.17
aws.ap-south-1|gcp.asia-south2|cost=109.30,delay=23.20
aws.ap-south-1|gcp.asia-southeast1|cost=109.30,delay=57.39
aws.ap-south-1|gcp.asia-southeast2|cost=109.30,delay=70.08
aws.ap-south-1|gcp.australia-southeast1|cost=109.30,delay=149.86
aws.ap-south-1|gcp.australia-southeast2|cost=109.30,delay=141.11
